# Time(Gyr) Mg(Msol) Ms(Msol) SFR(Msol/yr) SSFR(/yr) Md(Msol) M_Z(Msol) Z, f_g 
6.2 14676820060.97 41905750746.31 4.12 9.82549188338e-11 524049134.97 656287058.03 0.0443231971522 0.26 
6.25 14565247157.46 42110114864.70 4.09 9.70617719992e-11 525763797.59 657019284.64 0.0447158890891 0.26 
6.3 14454487857.22 42312982582.70 4.06 9.5889112806e-11 527417610.41 657702553.56 0.0451086945202 0.25 
6.35 14344535801.04 42514365596.31 4.03 9.47364547378e-11 529011630.71 658337528.12 0.0455016158344 0.25 
6.4 14235384679.43 42714275510.08 4.00 9.36033264702e-11 530546887.99 658924863.90 0.0458946554461 0.25 
6.45 14127028232.24 42912723837.90 3.97 9.24892712808e-11 532024385.05 659465208.80 0.046287815801 0.25 
6.5 14019460248.21 43109722003.65 3.94 9.1393846488e-11 533445099.07 659959203.16 0.0466810993764 0.25 
6.55 13912674564.64 43305281341.91 3.91 9.03166229156e-11 534809982.60 660407479.80 0.0470745086813 0.24 
6.6 13806665067.03 43499413098.68 3.88 8.92571843811e-11 536119964.53 660810664.10 0.0474680462573 0.24 
6.65 13701425688.62 43692128432.06 3.85 8.82151272068e-11 537375951.07 661169374.10 0.0478617146785 0.24 
6.7 13596950410.10 43883438412.93 3.83 8.71900597534e-11 538578826.61 661484220.57 0.0482555165521 0.24 
6.75 13493233259.20 44073354025.65 3.80 8.61816019745e-11 539729454.65 661755807.07 0.0486494545191 0.23 
6.8 13390268310.34 44261886168.71 3.77 8.51893849898e-11 540828629.86 661984621.80 0.0490435312542 0.23 
6.85 13288049684.24 44449045655.43 3.74 8.42130506782e-11 541877171.51 662171256.01 0.0494377413845 0.23 
6.9 13186571547.58 44634843214.60 3.72 8.32522512882e-11 542875880.83 662316293.68 0.0498320876082 0.23 
6.95 13085828112.62 44819289491.17 3.69 8.2306649064e-11 543825541.77 662420311.74 0.0502265726377 0.23 
7.0 12985813636.89 45002395046.88 3.66 8.13759158893e-11 544726921.58 662483880.19 0.050621199212 0.22 
7.05 12886522422.77 45184170360.91 3.64 8.04597329454e-11 545580771.52 662507562.21 0.0510159700973 0.22 
7.1 12787948817.19 45364625830.54 3.61 7.95577903837e-11 546387827.39 662491914.30 0.0514108880951 0.22 
7.15 12690087211.26 45543771771.79 3.58 7.86697870122e-11 547148810.10 662437486.28 0.0518059560425 0.22 
7.2 12592932039.93 45721618420.05 3.56 7.77954299951e-11 547864426.14 662344821.30 0.0522011768126 0.22 
7.25 12496477781.66 45898175930.69 3.53 7.69344345643e-11 548535368.15 662214455.98 0.0525965533047 0.21 
7.3 12400718958.03 46073454379.72 3.51 7.6086523744e-11 549162315.36 662046920.52 0.0529920884549 0.21 
7.35 12305650133.49 46247463764.40 3.48 7.52514280846e-11 549745934.09 661842738.71 0.0533877852371 0.21 
7.4 12211265914.93 46420214003.83 3.46 7.44288854092e-11 550286878.13 661602428.05 0.0537836466606 0.21 
7.45 12117560951.43 46591714939.62 3.43 7.36186405696e-11 550785789.21 661326499.80 0.0541796757731 0.21 
7.5 12024529933.86 46761976336.41 3.41 7.2820445212e-11 551243297.36 661015459.04 0.054575875661 0.20 
7.55 11932167594.60 46931007882.55 3.38 7.20340575519e-11 551660021.26 660669804.75 0.0549722494498 0.20 
7.6 11840468707.22 47098819190.65 3.36 7.12592421584e-11 552036568.65 660290029.85 0.0553688003046 0.20 
7.65 11749428086.11 47265419798.20 3.33 7.04957697457e-11 552373536.64 659876621.29 0.0557655314308 0.20 
7.7 11659040586.22 47430819168.14 3.31 6.97434169756e-11 552671512.01 659430060.10 0.0561624460742 0.20 
7.75 11569301102.68 47595026689.43 3.28 6.90019662634e-11 552931071.54 658950821.45 0.0565595475223 0.20 
7.8 11480204570.56 47758051677.68 3.26 6.82712055949e-11 553152782.28 658439374.71 0.0569568391038 0.19 
7.85 11391745964.48 47919903375.65 3.24 6.75509283492e-11 553337201.85 657896183.53 0.0573543241904 0.19 
7.9 11303920298.37 48080590953.88 3.21 6.68409331271e-11 553484878.68 657321705.86 0.0577520061964 0.19 
7.95 11216722625.11 48240123511.24 3.19 6.61410235881e-11 553596352.20 656716393.92 0.0581498885796 0.19 
8.0 11130148036.25 48398510075.45 3.17 6.54510082916e-11 553672153.15 656080694.36 0.0585479748292 0.19 
8.05 11044191661.73 48555759603.70 3.14 6.47707005451e-11 553712803.76 655415048.33 0.0589462684791 0.19 
8.1 10958848669.51 48711880983.16 3.12 6.40999182573e-11 553718818.04 654719891.56 0.0593447731082 0.18 
8.15 10874114265.37 48866883031.53 3.10 6.34384837977e-11 553690701.91 653995654.38 0.0597434923415 0.18 
8.2 10789983692.51 49020774497.60 3.08 6.27862238605e-11 553628953.45 653242761.82 0.0601424298498 0.18 
8.25 10706452231.34 49173564061.78 3.06 6.21429693333e-11 553534063.05 652461633.61 0.0605415893512 0.18 
8.3 10623515199.16 49325260336.61 3.03 6.1508555171e-11 553406513.64 651652684.28 0.0609409746112 0.18 
8.35 10541167949.85 49475871867.35 3.01 6.0882820274e-11 553246780.79 650816323.21 0.0613405894437 0.18 
8.4 10459405873.63 49625407132.45 2.99 6.02656073712e-11 553055332.92 649952954.67 0.0617404377113 0.17 
8.45 10378224396.74 49773874544.08 2.97 5.96567629066e-11 552832631.47 649062977.86 0.0621405233259 0.17 
8.5 10297618981.16 49921282448.68 2.95 5.905613693e-11 552579130.98 648146786.96 0.0625408502499 0.17 
8.55 10217585124.34 50067639127.45 2.93 5.84635829916e-11 552295279.28 647204771.22 0.062941422493 0.17 
8.6 10138118358.94 50212952796.85 2.91 5.78789580407e-11 551981517.66 646237314.98 0.0633422441163 0.17 
8.65 10059214252.52 50357231609.13 2.89 5.73021223269e-11 551638280.92 645244797.72 0.0637433192333 0.17 
8.7 9980868407.29 50500483652.83 2.87 5.67329393058e-11 551265997.58 644227594.17 0.0641446520103 0.17 
8.75 9903076459.84 50642716953.26 2.84 5.61712755478e-11 550865089.95 643186074.28 0.0645462466673 0.16 
